#p	 replica	 essentials	 correct	 fp	 fn
0.26	2	402	0.6819923371647509	0.1417624521072797	0.17624521072796934
0.28	2	411	0.6839080459770115	0.14942528735632185	0.16666666666666666
0.3	2	412	0.6896551724137931	0.1475095785440613	0.16283524904214558
0.32	2	408	0.6781609195402298	0.14942528735632185	0.1724137931034483
0.34	2	420	0.685823754789272	0.15708812260536398	0.15708812260536398
0.36	2	424	0.685823754789272	0.16091954022988506	0.1532567049808429
0.38	2	440	0.7049808429118773	0.16666666666666666	0.12835249042145594
0.4	2	445	0.7145593869731801	0.16666666666666666	0.11877394636015326
0.42	2	449	0.7145593869731801	0.17049808429118773	0.11494252873563218
0.44	2	457	0.7222222222222222	0.1743295019157088	0.10344827586206896
0.46	2	456	0.735632183908046	0.16666666666666666	0.09770114942528736
0.48	2	459	0.7337164750957854	0.17049808429118773	0.09578544061302682
0.5	2	462	0.7394636015325671	0.17049808429118773	0.09003831417624521
0.52	2	464	0.7432950191570882	0.17049808429118773	0.08620689655172414
0.54	2	458	0.7432950191570882	0.16475095785440613	0.09195402298850575
0.56	2	457	0.7452107279693486	0.16283524904214558	0.09195402298850575
0.58	2	460	0.7432950191570882	0.16666666666666666	0.09003831417624521
0.6	2	456	0.7318007662835249	0.1685823754789272	0.09961685823754789
0.62	2	458	0.7471264367816092	0.16283524904214558	0.09003831417624521
0.64	2	463	0.7528735632183908	0.16475095785440613	0.08237547892720307
0.66	2	469	0.7528735632183908	0.17049808429118773	0.07662835249042145
0.68	2	473	0.7567049808429118	0.1724137931034483	0.07088122605363985
0.7000000000000001	2	476	0.7586206896551724	0.1743295019157088	0.06704980842911877
0.72	2	475	0.7528735632183908	0.17624521072796934	0.07088122605363985
0.74	2	480	0.7624521072796935	0.17624521072796934	0.06130268199233716
0.76	2	483	0.764367816091954	0.1781609195402299	0.05747126436781609
0.78	2	485	0.7720306513409961	0.17624521072796934	0.05172413793103448
0.8	2	486	0.7701149425287356	0.1781609195402299	0.05172413793103448
0.8200000000000001	2	487	0.7720306513409961	0.1781609195402299	0.04980842911877394
0.84	2	491	0.7720306513409961	0.18199233716475097	0.04597701149425287
0.86	2	493	0.7720306513409961	0.1839080459770115	0.044061302681992334
